Year,rpt_rec_num,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Interns and Residents (FTE),Total Days Title V,Total Days Title XVIII,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title V,Total Discharges Title XVIII,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),Number of Beds + Total for all Subproviders,Hospital Total Days Title V For Adults & Peds,Hospital Total Days Title XVIII For Adults & Peds,Hospital Total Days Title XIX For Adults & Peds,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds,Hospital Number of Beds For Adults & Peds,Hospital Total Bed Days Available For Adults & Peds,Hospital Total Discharges Title V For Adults & Peds,Hospital Total Discharges Title XVIII For Adults & Peds,Hospital Total Discharges Title XIX For Adults & Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor: Direct Patient Care,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Land,Land Improvements,Buildings,Leasehold Improvements,Fixed Equipment,Major Movable Equipment,Minor Equipment Depreciable,Health Information Technology Designated Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,DRG Amounts Other Than Outlier Payments,DRG Amounts Before October 1,DRG Amounts After October 1,Outlier Payments For Discharges,Disproportionate Share Adjustment,Allowable DSH Percentage,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Total Patient Revenue,Less Contractual Allowance and Discounts on Patients' Accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges,Net Revenue from Stand-Alone CHIP,Stand-Alone CHIP Charges
2020,667603,454148,PERIMETER HOSPITAL,7000 US HWY 287,ARLINGTON,TX,76001,,,NA,PH,1,2,10/21/2019,12/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,672444,673073,EVEREST REHABILITATION HOSPITAL LONG,701 E LOOP 281,LONGVIEW,TX,75605,GREGG,30980,U,RH,5,6,10/14/2019,12/31/2019,47.17,,,557,,714,36,2844,,51,,64,36,,557,,714,36,2844,,51,,64,,,,,710927,1479715,316537,2185047,2013026,,2013026,,,,,,,385969,,,1169953,-159901,30009,34305,,1460335,,,19463810,,42671,1214688,221743,,20310897,,,522498,22293730,475282,181853,12624,237454,,1705580,2612793,,24281021,,,24281021,26893814,-4600084,-4600084,22293730,,,,,,,,,2013026,,2013026,994899,1018127,2190642,-1172515,1335,-1171180,,-1171180,,,,,
2020,674736,673074,EVEREST REHABILITATION HOSPITAL TEMP,23621 SE HK DODGEN LOOP,TEMPLE,TX,76504,,28660,U,RH,5,6,11/13/2019,12/31/2019,51.7,,,306,,474,36,1764,,34,,47,36,,306,,474,36,1764,,34,,47,,,,,478554,860711,192397,1342103,1364557,,1364557,,,,,,,494789,,,945645,-244455,39985,10105,,1246069,,,19438326,,44391,1211062,126522,,20560298,,6843,529343,22335710,672883,211004,13396,1681969,,,2579252,,24049661,,,24049661,26628913,-4293203,-4293203,22335710,,,,,,,,,1364557,,1364557,708696,655861,1339265,-683404,782,-682622,,-682622,,,,,
2020,675974,241306,RENVILLE COUNTY HOSPITAL AND CLINICS,100 HEALTH WAY,OLIVIA,MN,56277-1397,RENVILLE,99924,R,CAH,1,9,1/1/2020,4/30/2020,102.69,,,197,14,359,16,1936,,40,5,128,16,,104,1,206,16,1936,,40,5,128,21934,126556,107374,718100,4136871,6533265,959978,9060854,2067462,11162751,13230213,,,,,,,35853000,10000,,4402000,-1914000,711000,1213000,,40945000,1530000,22113000,,,,12796000,,,20215000,,15000,15000,61175000,99000,1217000,109000,298000,-3000,4832000,6552000,,,,16971000,16971000,23523000,37652000,37652000,61175000,,,,,,,,,2299798,11448324,13748122,5125608,8622514,10670136,-2047622,2552198,504576,126556,378020,0.684861,1249468,2716163,,
2020,680106,10008,CRENSHAW COMMUNITY HOSPITAL,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,CRENSHAW,99901,R,STH,1,4,1/1/2020,3/30/2020,87.16,,,136,16,357,29,2552,,34,4,93,49,,136,16,357,29,2552,,34,4,93,,1,,49111,1381715,1668919,148855,2717547,3180322,6240101,9420423,123808,,1381715,,,,1498279,,,2774897,,215546,,,4488722,,,,,,660273,,,660273,,,,5148995,4670126,,,,,4764664,9434790,,4934595,,,4934595,14369385,-9220390,-9220390,5148995,,148113,,,1570,0.0424,,,3398768,7044102,10442870,8214048,2228822,3050634,-821812,307482,-514330,-95,-514235,0.288474,221130,1746927,,
2020,680314,420110,ROPER ST. FRANCIS HOSPITAL-BERKELEY,100 CALLEN BOULEVARD,SUMMERVILLE,SC,29486-2807,BERKELEY,16700,U,STH,1,2,11/11/2019,12/31/2019,286.99,,,364,47,1200,46,2346,,104,19,360,46,,297,43,1014,38,1938,,104,19,360,50590,,50590,706837,2279963,6744464,1051228,7886089,9148710,17071893,26220603,865538,,2271143,206725,,,350,,,7340102,,1153764,412691,,8930421,18671840,5356272,76980029,,739941,25365530,,,125333559,,556,556,134264536,29081,22311,,984227,,,37312329,,,,110093672,110093672,147406001,-13141465,-13141465,134264536,,,606441,,11310,0.0746,,,9311125,18697022,28008147,20831461,7176686,9024427,-1847741,16972505,15124764,26450050,-11325286,0.300759,432095,3618651,,
2020,680632,390321,LVH-COORDINATED ALLENTOWN,1503 N CEDAR CREST BLVD,ALLENTOWN,PA,18104,LEHIGH,10900,U,STH,1,2,12/19/2019,6/30/2020,543.91,,,224,11,537,20,3900,,126,4,292,20,,224,11,537,20,3900,,126,4,292,,346848,127559,1031901,19522975,28963245,1164309,45751368,15862917,107860283,123723200,4330188,,19522975,,,,10732300,,,14190961,-1866147,1939203,1144962,,26954239,,,,8928446,6856014,2240750,,,15660151,,130714526,130714526,173328916,6479581,666778,1071995,6742928,9353755,1695468,46416228,,84325533,,117554,84443087,130859315,42469601,42469601,173328916,,2003120,,,,,472718,,15862918,107860285,123723203,87818867,35904336,50580059,-14675723,3143513,-11532210,830795,-12363005,0.369788,576203,4003767,,
2020,682902,134009,LIFEWAYS HOSPITAL,8050 NORTHVIEW STREET,BOISE,ID,83704,ADA,14260,U,PH,4,4,1/1/2020,6/30/2020,303,,,283,1177,2169,16,2912,,28,147,291,16,,283,1177,2169,16,2912,,28,147,291,,,,,8970632,7087405,36865,1874241,3058471,,3058471,,,,,,,3861639,,,4349174,-1765509,,354939,,6800243,1787557,,17905646,,,2916436,,,17720735,,,,24520978,592655,954529,,,,13834174,15381358,,,,,,15381358,9139620,9139620,24520978,,,,,,,,,15540336,,15540336,3475316,12065020,16058037,-3993017,2316405,-1676612,,-1676612,,,,,
2020,683739,241350,MERCY HOSPITAL & HEALTH CARE CENTER,710 KENWOOD AVENUE SOUTH,MOOSE LAKE,MN,55767-,CARLTON,20260,R,CAH,1,11,10/1/2019,7/31/2020,176.35,,,805,83,1813,25,7625,,130,11,353,25,,440,52,1070,23,7015,,130,11,353,123684,590071,482990,2678125,12052487,19757317,2566515,28547097,9422752,35400431,44823183,,,,,,,14299907,6947939,,8559339,-3957167,948667,265948,751048,28193560,248415,1753034,25556810,,20190522,10858586,,,32662421,634192,154656,788848,61644829,745156,1804414,,2079793,3867197,293501,8790061,36999629,,,,36999629,45789690,15855139,15855139,61644829,,,,,,,,,9777242,37773557,47550799,19896615,27654184,31809804,-4155620,2467767,-1687853,590071,-2277924,0.636882,3162706,8412612,,
2020,684341,670143,ASCENSION SETON BASTROP,630 HWY 71 W,BASTROP,TX,78602,BASTROP,12420,U,STH,1,2,2/28/2020,6/30/2020,93.77,,,28,,230,7,2555,,9,,76,7,,28,,230,7,2555,,9,,76,,,,735002,2479121,3159227,97402,5853069,3071067,30750581,33821648,491511,,2298087,1831,,,,,,16235701,-14331634,61231,,,2636402,5006749,114138,24366421,,52171,4331978,,,32836577,,480567,480567,35953546,57439,455949,,,,964286,1477674,,,,47935,47935,1525609,34427937,34427937,35953546,,,43685,,,,57601,,3082749,30791927,33874676,29680290,4194386,5638348,-1443962,102,-1443860,,-1443860,0.173057,403,4000437,45,198388
