Year,rpt_rec_num,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Interns and Residents (FTE),Total Days Title V,Total Days Title XVIII,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title V,Total Discharges Title XVIII,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),Number of Beds + Total for all Subproviders,Hospital Total Days Title V For Adults & Peds,Hospital Total Days Title XVIII For Adults & Peds,Hospital Total Days Title XIX For Adults & Peds,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds,Hospital Number of Beds For Adults & Peds,Hospital Total Bed Days Available For Adults & Peds,Hospital Total Discharges Title V For Adults & Peds,Hospital Total Discharges Title XVIII For Adults & Peds,Hospital Total Discharges Title XIX For Adults & Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor: Direct Patient Care,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Land,Land Improvements,Buildings,Leasehold Improvements,Fixed Equipment,Major Movable Equipment,Minor Equipment Depreciable,Health Information Technology Designated Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,DRG Amounts Other Than Outlier Payments,DRG Amounts Before October 1,DRG Amounts After October 1,Outlier Payments For Discharges,Disproportionate Share Adjustment,Allowable DSH Percentage,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Total Patient Revenue,Less Contractual Allowance and Discounts on Patients' Accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges,Net Revenue from Stand-Alone CHIP,Stand-Alone CHIP Charges
2019,650479,201302,LINCOLNHEALTH,6 ST. ANDREWS LANE,BOOTHBAY HARBOR,ME,04538-,LINCOLN,99920,R,CAH,1,2,10/1/2018,12/31/2018,362.19,,,820,126,1793,25,9125,,187,33,382,67,,690,80,1377,21,7665,,187,33,382,259986,1047204,851792,851792,6124146,15117362,928865,18206588,9440440,21196720,30637160,,,,,,,4425475,,591564,6985850,,3294397,,,23717347,2480754,5779808,62333238,630254,8436081,22873561,,,46762120,12633553,3335454,15969007,86448474,1617780,2630412,,,17032,1971307,17186883,,9448243,,3303566,12751809,29938692,56509782,56509782,86448474,,,,,,,,,10567431,23595634,34163065,12768843,21394222,21973982,-579760,61805,-517955,,-517955,0.594265,1692896,2070344,,
2019,655727,342017,ASHEVILLE SPECIALTY HOSPITAL  LLC,428 BILTMORE AVENUE,ASHEVILLE,NC,28801,BUNCOMBE,11700,U,LTCH,2,4,10/1/2018,1/31/2019,32.37,,,1808,,3058,34,4182,,64,,104,34,,1808,,3058,34,4182,,64,,104,,,,,2151821,2424818,104864,5817495,13061584,,13061584,,,,,,,5762361,,,6145591,-3780352,184161,163323,,8533810,,,,92612,,1733361,,,479851,,,,9013661,1122104,489153,21497,,,,1632908,,,,,,1632908,7380753,7380753,9013661,,,,,,,,,13061584,,13061584,7506308,5555276,4576639,978637,54959,1033596,,1033596,,,,,
2019,661241,344033,WALTER B JONES LAKESIDE,2577 WEST FIFTH STREET,GREENVILLE,NC,27834,PITT,24780,U,PH,4,10,4/3/2019,6/30/2019,138,,,15,,2377,48,4272,,2,,218,48,,15,,2377,48,4272,,2,,218,,,,,2308725,1789040,141496,4105956,2246773,,2246773,,,2308725,,,,,,,36205,,5411,,,41616,10500,337663,2453616,,,175740,3165,,1814986,,,,1856602,,,,,36183,,36183,,,,,,36183,1820419,1820419,1856602,,,,,,,,,29164,,29164,,29164,955682,-926518,7847,-918671,,-918671,1.82749,,,,
2019,661372,341316,HIGHLANDS CASHIERS HOSPITAL,HIGHWAY 64E,HIGHLANDS,NC,28741-,MACON,99934,R,CAH,1,2,10/1/2018,1/31/2019,84.52,,,706,10,1053,24,2952,,45,5,77,24,,123,10,201,24,2952,,45,5,77,152839,683084,528132,627594,1926310,3193598,394819,5305943,1283280,8240647,9523927,,,,,,,15936,,,5464786,-3865655,544774,,,16821850,1160240,2072412,15207985,,3456477,-475963,,,14972905,,2452005,2452005,34246760,605690,429871,340,,,3344001,6157913,,,,,,6157913,28088847,28088847,34246760,,,,,,,,,1283280,8588806,9872086,6055144,3816942,5119908,-1302966,2785450,1482484,,1482484,0.557117,162586,470364,,
2019,662990,670087,SCOTT & WHITE CEDAR PARK,900 E WHITESTONE BLVD,CEDAR PARK,TX,78613,WILLIAMSON,12420,U,STH,1,4,1/1/2019,6/30/2019,27.03,,,2,,4,8,1448,,1,,3,8,,2,,4,8,1448,,1,,3,14997,51101,28167,195413,980736,2146785,41424,2849690,156419,10900758,11057177,156197,,980736,900,,,-1,,,582983,,94305,272938,,3292077,,,,,,1655230,,,126804,,,,3418881,168287,100760,392,,381913,28069,1148775,,,,,,1148775,2270106,2270106,3418881,,3738,,,,,,,156419,10916055,11072474,8522142,2550332,3127521,-577189,91176,-486013,,-486013,0.257723,67094,909270,,
2019,663133,341319,TRANSYLVANIA COMMUNITY HOSPITAL,260 HOSPITAL DRIVE,BREVARD,NC,28712-,TRANSYLVANIA,99934,R,CAH,1,2,10/1/2018,1/31/2019,249.22,,,870,146,1794,25,3075,,254,40,506,35,,730,127,1502,21,2583,,254,40,506,1138407,3569208,2225732,2487568,5438578,15129616,982495,18416446,7424091,54169157,61593248,,,,,,,26627,,,38781669,-26468153,1746310,,,33459468,7913355,422520,30060785,354806,71165,9956576,,,36166000,11159320,4377847,32110936,101736404,1387619,1374872,45260,,,8792111,17228816,,,,,,17228816,84507588,84507588,101736404,,,,,,,,,8850089,58172212,67022301,46416951,20605350,20568194,37156,3245695,3282851,,3282851,0.299001,1514762,5941780,,
2019,663135,341326,ANGEL MEDICAL CENTER,120 RIVERVIEW STREET,FRANKLIN,NC,28744-,MACON,99934,R,CAH,1,2,10/1/2018,1/31/2019,200.92,,,1295,91,2127,25,3075,,318,27,560,25,,917,65,1469,20,2460,,318,27,560,1146792,3565617,2143933,2143933,4734509,14698814,826366,18529997,9131290,59644357,68775647,,,,,,,56138,,,44986223,-33252331,1767765,10017,250878,15003809,3480000,531727,39437395,2890638,4302757,14893808,,,23390452,,2222232,2222232,40616493,1242942,1059921,38497,707016,,1820612,4868988,,,,7309302,7309302,12178290,28438203,28438203,40616493,,,,,,,,,9084288,62813193,71897481,53102029,18795452,19433323,-637871,1066927,429056,,429056,0.269427,1642829,5908103,,
2019,663298,204008,RIVERVIEW PSYCHIATRIC HOSPITAL,250 ARSENAL STREET,AUGUSTA,ME,04332-,KENNEBEC,99920,R,PH,4,10,1/30/2019,6/30/2019,312.19,,,1554,55,11250,92,13984,,36,1,102,92,,1554,55,11250,92,13984,,36,1,102,,,,,6866783,10499726,309990,15786927,10097704,1038,10098742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17366509,-17366509,,-17366509,,-17366509,,,,,
2019,663314,341329,BLUE RIDGE REGIONAL HOSPITAL,125 HOSPITAL DRIVE,SPRUCE PINE,NC,28777,MITCHELL,99934,R,CAH,1,2,10/1/2018,1/31/2019,176.53,,,655,102,1608,25,3075,,182,32,409,25,,554,102,1293,25,3075,,182,32,409,728377,2874149,1602313,1868371,4319440,11162440,817864,14515077,4578229,43917941,48496170,,,,,,,8421645,5951202,,34305445,-25111528,1415898,,,25720762,3233077,,41720961,2263882,225936,15256329,,,31422656,2447231,2249525,4696756,61840174,461498,,35980,,234835,9959476,21841299,,168923,,,168923,22010222,39829952,39829952,61840174,,,,,,,,,5619938,44979005,50598943,35705693,14893250,15481880,-588630,1855337,1266707,,1266707,0.299304,1316287,5286750,,
2019,663374,421302,FAIRFIELD MEMORIAL HOSPITAL,102 US HWY 31 BYPASS NORTH,WINSBORO,SC,29180-0620,FAIRFIELD,17900,U,CAH,1,9,10/1/2018,12/18/2018,12.17,,,,,,25,9125,,,,,25,,,,,25,9125,,,,,116801,40553,130995,130995,837001,1854556,87202,2070896,,2317771,2317771,,,,,,,69741,,,104028,-100855,,26767,,109799,9325,682,4278403,396074,1373709,508017,,1687238,766432,588345,1441382,2029727,2905958,1988905,9536,,1364028,,18859,3381328,,230503,,10545567,10776070,14157398,-11251440,-11251440,2905958,,,,,,,,,,2393581,2393581,915564,1478017,2691557,-1213540,265753,-947787,-250076,-697711,0.893486,12503,51496,,
2019,663425,102028,SSH - THE VILLAGES,5050 COUNTY ROAD 472,OXFORD,FL,34484,SUMTER,45540,U,LTCH,2,4,4/3/2019,6/30/2019,23.92,,,1034,,2530,40,14600,,39,,76,40,,1034,,2530,40,14600,,39,,76,,,,,1813609,2824249,292962,4786360,14381238,1482144,15863382,,,1813609,,,,,,,4134579,,,11636,116193,4262408,524791,,8806762,310017,,2665400,,,11836478,,7811978,-15445279,653607,798363,422873,,,,,1221236,,,,,,1221236,-567629,-567629,653607,,,,,,,,,15863382,,15863382,11344166,4519216,4637857,-118641,9648,-108993,-1015,-107978,0.301724,,,,
2019,663627,430082,SIOUX SAN HOSPITAL,3200 CANYON LAKE DRIVE,RAPID CITY,SD,57702,PENNINGTON,39660,U,STH,11,7,10/1/2018,6/1/2019,240,,,,,,,,,,,,,,,,,,,,,,,,,,,10368268,18893485,555434,9523516,,118116,118116,1,,10368268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,29261753,-29261753,,-29261753,,-29261753,,,,,
2019,664023,50784,TULARE REGIONAL MEDICAL CENTER,869 CHERRY STREET,TULARE,CA,93274,TULARE,47300,U,STH,1,11,1/30/2019,3/14/2019,11.37,,,133,13,405,108,4752,,23,4,83,108,,129,13,401,94,4136,,23,4,83,,81990,41481,41481,1886475,5755437,291997,6439787,10810025,1918559,12728584,210612,,1886475,246686,,,1276406,1896,,12449640,-12377412,363197,527810,16014491,18256028,2225137,1076735,45634689,607391,40759576,,,,156575317,,315823,315823,175147168,32062006,12660,,1404613,13192572,,46671851,110962136,,,,110962136,157633987,17513181,17513181,175147168,,203179,,,6984,0.1375,,,10810025,1918559,12728584,9663992,3064592,7641912,-4577320,3567452,-1009868,,-1009868,0.505931,10551011,5913358,,
2019,664144,670127,EL PASO LTAC HOSPITAL,1221 N. COTTON STREET  3RD FLOOR,EL PASO,TX,79902-,EL PASO,21340,U,STH,1,5,1/1/2019,6/30/2019,53.85,,,914,,1854,33,12045,,60,,114,33,,914,,1854,33,12045,,60,,114,,,,,1300044,1521292,379087,2879615,8361188,,8361188,200844,,1300044,,,,74310,,,1074698,,,,-134299,1011388,,,,1667040,309318,562903,50709,,1143318,,22500,22500,2177206,1812640,,84881,,,,1897521,,289060,,,289060,2186581,-9375,-9375,2177206,,554070,,,,,,,8361188,,8361188,5685608,2675580,2821336,-145756,13816,-131940,,-131940,0.344403,,,,
2019,664851,252008,KPC PROMISE HOSPITAL OF VICKSBURG,2100 HIGHWAY 61 N  6TH FLOOR,VICKSBURG,MS,39180,WARREN,99925,R,LTCH,2,4,6/15/2019,8/31/2019,98,,,1426,,2236,35,2730,,56,,99,35,,1426,,2236,35,2730,,56,,99,,,,,957962,1153599,1910,2035127,8008274,,8008274,,,,,,,4400,,,7156400,-5836471,164291,1981,,1490601,,,,,,27145,,,25465,,,-585615,930451,212610,56745,33817,,,567038,870210,,,,,,870210,60241,60241,930451,,,,,,,,,8008274,,8008274,5836472,2171802,2111561,60241,,60241,,60241,,,,,
2019,664996,453314,TEXAS SCOTTISH RITE HOSPITAL FOR CRI,2222 WELBORN STREET,DALLAS,TX,75219,,,NA,CH,9,2,10/1/2018,9/30/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,665011,104082,PALM POINT BEHAVIORAL HEALTHCARE,2355 TRUMAN SCARBOROUGH WAY,TITUSVILLE,FL,32796,BREVARD,37340,U,PH,4,4,12/20/2018,10/31/2019,69.61,,,456,,6728,74,23384,,94,,676,74,,456,,6728,74,23384,,94,,676,,,,,3586221,7742375,852950,6410915,14159200,182800,14342000,,,,,,,-28580,,,4011891,-3178863,21423,2376,,834329,803731,,,20187398,,1687086,,,21469313,,15313,15313,22318955,208508,200591,124722,,,313463,847284,,,,30892374,30892374,31739658,-9420703,-9420703,22318955,,,,,,,,,14822036,182800,15004836,10768001,4236835,11328596,-7091761,15668,-7076093,,-7076093,,,,,
2019,665049,452068,KPC PROMISE HOSPITAL OF WICHITA FALL,1103 GRACE STREET,WICHITA FALLS,TX,76301,WICHITA,48660,U,LTCH,2,4,6/15/2019,8/31/2019,104,,,1472,,2060,31,2418,,58,,111,31,,1472,,2060,31,2418,,58,,111,,,,,921866,1030739,23028,1935450,5803432,,5803432,,,,,,,1835,,,5142566,-3485416,96791,4635,,1763175,,,10286,16085,2242,85829,99515,,207198,,,-928118,1042255,115382,71897,95960,,,393613,676852,,,,,,676852,365403,365403,1042255,,,,,,,,,5803432,,5803432,3485424,2318008,1952605,365403,,365403,,365403,,,,,
2019,665068,103303,SHRINERS HOSPITAL FOR CHILDREN TAMPA,12505 USF PINE DRIVE,TAMPA,FL,33612,,,NA,CH,1,1,1/1/2019,7/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,665156,172004,KPC PROMISE HOSPITAL OF OVERLAND PK,6509 W 103RD STREET,OVERLAND PARK,KS,66212,JOHNSON,28140,U,LTCH,2,4,6/15/2019,8/31/2019,140,,,730,199,2059,56,4368,,29,7,86,108,,730,199,2059,56,4368,,29,7,86,,,,,1519722,1963608,37083,3482311,8256540,,8256540,,,,,,,,,,5053714,-2968214,104174,357,,2190031,,,,7814,13164,120431,277484,,400937,,33701,-1401262,1189706,317242,154056,,,,555169,1026467,,,,,,1026467,163239,163239,1189706,,,,,,,,,8256540,,8256540,4609971,3646569,3483330,163239,,163239,,163239,,,,,
2019,665194,154065,NEUROBEHAVIORAL HOSPITAL  LLC,9330 BROADWAY,CROWN POINT,IN,46307,LAKE,23844,U,PH,4,5,10/23/2018,12/31/2018,79.64,,,1004,29,1602,70,4830,,66,2,77,70,,1004,29,1602,70,4830,,66,2,77,,,,,1049312,1102675,213427,2016937,2385103,,2385103,,,,,,,2386,,,1335270,,32426,682851,,2052933,,,14269000,76650,,520592,,,14455329,,10925,10925,16519187,646322,,,3611841,,3202170,7460333,,13842766,,,13842766,21303099,-4783912,-4783912,16519187,,,,,,,,,2385102,,2385102,1038795,1346307,6127399,-4781092,304,-4780788,-2,-4780786,,,,,
2019,665241,14014,BAYPOINTE BEHAVIORAL HEALTH,5800 SOUTHLAND DRIVE,MOBILE,AL,36693-3313,,,NA,PH,4,11,10/1/2018,9/30/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,665299,341304,BERTIE MEMORIAL HOSPITAL,1403 SOUTH KING STREET,WINDSOR,NC,27983,BERTIE,99934,R,CAH,1,9,10/1/2018,9/30/2019,103.78,,,974,63,1454,6,2190,,253,22,393,6,,974,63,1454,6,2190,,253,22,393,872489,4296989,2677438,3014841,7761595,10450511,809098,17943445,5892492,35293893,41186385,,,,,,,9750976,,,5487669,-2188163,436560,72145,1281,13876749,232691,198039,12127374,,,7289440,,,6004605,,,,19881354,968836,1141209,,,,1863552,3973597,,,,1257147,1257147,5230744,14650610,14650610,19881354,,,,,,,,,5965799,35220585,41186384,21036541,20149843,18212106,1937737,372047,2309784,3078737,-768953,0.435664,1816041,4919897,43724,123366
2019,665300,341318,CHOWAN HOSPITAL INC.,211 VIRGINIA AVENUE,EDENTON,NC,27932,CHOWAN,99934,R,CAH,1,2,10/1/2018,9/30/2019,267.6,,,2698,1072,5756,25,9125,,661,537,1541,25,,2066,588,4090,21,7665,,661,537,1541,61834,11911869,4160457,4201254,15921524,30308911,2036752,43339870,37086659,89092432,126179091,,,,,,,3139840,,,19422478,-9713506,2003059,35467,,20111838,568352,855038,30175816,,,20857021,,,16844749,,1870226,1870226,38826813,3593659,2953184,,,,3715717,10262560,,,,9775381,9775381,20037941,18788872,18788872,38826813,,,,,,,,,37700692,90353697,128054389,68983463,59070926,52253889,6817037,1120811,7937848,,7937848,0.343479,6957046,18643654,88711,377047
2019,665429,111313,PUTNAM GENERAL HOSPITAL,101 LAKE OCONEE PARKWAY,EATONTON,GA,31024-,PUTNAM,99911,R,CAH,1,9,10/1/2018,9/30/2019,105.44,,,1346,54,3502,25,9125,,116,15,259,25,,444,54,870,25,9125,,116,15,259,30064,1611505,770695,782104,5304779,12572458,556983,13298484,5307610,23281253,28588863,,,,,,,1618236,,,12793945,-9436002,288418,,36096,5300693,15000,258497,12199929,,,7044610,,1364245,3604530,98833,570675,669508,9574731,891617,2162287,,936239,,,3990143,,23802,,4140103,4163905,8154048,1420683,1420683,9574731,,,,,,,,,5050343,40279642,45329985,28852061,16477924,17877237,-1399313,2417024,1017711,,1017711,0.465163,1004969,2608932,13534,53622
2019,665473,371314,PHYSICIANS HOSPITAL AT ANADARKO,1002 EAST CENTRAL BLVD,ANADARKO,OK,73005-,CADDO,99937,R,CAH,1,2,10/1/2018,9/30/2019,126.4,,,5769,100,6485,25,9125,,122,22,179,25,,378,74,539,25,9125,,122,22,179,362608,1376875,1104564,1104564,13309907,51866333,57075,59359241,27657024,38408521,66065545,,,,,,,128500,,,15857462,-8093604,248351,164698,-234481,8068839,,,5704000,182882,,,-1714292,,4088877,,,,12157716,92670693,,,665430,,2510,93338633,,16847143,,,16847143,110185776,-98028060,-98028060,12157716,,,,,,,,,27888308,40020151,67908459,19416677,48491782,65176240,-16684458,101440,-16583018,,-16583018,0.89849,1074605,4726849,,
2019,665495,514011,HIGHLAND-CLARKSBURG HOSPITAL INC,3 HOSPITAL PLAZA,CLARKSBURG,WV,26301,,,NA,PH,4,2,10/1/2018,9/30/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,665615,251304,TALLAHATCHIE CRITICAL ACCESS HOSPITA,CHURCH STREET,CHARLESTON,MS,38921,TALLAHATCHIE,99925,R,CAH,1,9,10/1/2018,9/30/2019,313.58,,,4652,18,4716,9,3285,,78,7,105,9,,222,18,286,9,3285,,78,7,105,,2029985,1428678,1428678,16082396,17194609,1076101,31244654,23557902,20370255,43928157,,,,,,,2250926,,,5439458,-1787399,469223,71972,25787,6543065,68750,475791,9121745,,2657023,3372684,,,6652291,500669,964541,1465210,14660566,1893528,1475728,88404,1383086,,2462686,7303432,,4857921,,,4857921,12161353,2499213,2499213,14660566,,,,,,,,,23624860,22792706,46417566,15650248,30767318,33277005,-2509687,1691441,-818246,692839,-1511085,0.711267,139669,357710,,
2019,665616,251308,PONTOTOC HEALTH SERVICES,176 SOUTH MAIN,PONTOTOC,MS,38863,PONTOTOC,99925,R,CAH,9,2,10/1/2018,9/30/2019,185.07,,,5317,15,5429,25,9125,,114,6,146,25,,287,15,366,25,9125,,114,6,146,1824427,4002608,3350959,3678162,12658895,11209286,1077732,22921003,13552625,46021561,59574186,,,,,,,1013113,,,9802296,-7460383,316306,,,3830370,60613,330267,1533228,4654991,1519201,9646814,,,1416995,,810551,810551,6057916,750252,1047846,104198,,,-452747,1449549,,,,2779462,2779462,4229011,1828905,1828905,6057916,,,,,,,,,18163244,49430699,67593943,42257027,25336916,23868181,1468735,345701,1814436,,1814436,0.384747,1220813,6246558,116646,216939
2019,665671,101313,MARINERS HOSPITAL,91500 OVERSEAS HIGHWAY,TAVERNIER,FL,33070,MONROE,99910,R,CAH,1,2,10/1/2018,9/30/2019,200.98,,,789,7,1442,25,9125,,224,2,466,25,,436,7,852,21,7665,,224,2,466,3530819,13092770,6824492,7761024,16505465,33508733,3278336,46634276,15383264,178732061,194115325,,,,,,,2250,,,19147236,-13092770,,,3222703,9279419,3356991,312566,30841882,1959595,1755544,15110701,,,22801458,,10290709,10290709,42371586,,3737088,,3085796,,4382890,11205774,,10317282,,881838,11199120,22404894,19966692,19966692,42371586,,,,,,,,,15377453,178752492,194129945,129771878,64358067,50014688,14343379,3152632,17496011,64527,17431484,0.24024,1028476,9421900,,
2019,665789,161321,SANFORD HOSPITAL ROCK RAPIDS,801 SOUTH GREENE STREET,ROCK RAPIDS,IA,51246-,LYON,99916,R,CAH,1,2,1/1/2019,4/30/2019,46.97,,,146,1,187,14,1680,,22,4,38,14,,66,1,107,14,1680,,22,4,38,137430,53111,170265,281099,1383767,1475065,86114,3061868,500426,4335383,4835809,,,,,,,39803,,,893318,,162592,,,1095713,257864,,,,,1711363,,,4288825,,,,5384538,206311,,,-656028,,170,-449547,,,,,,-449547,5834085,5834085,5384538,,,,,,,,,500426,4347081,4847507,1935049,2912458,2977747,-65289,148113,82824,172,82652,0.633166,148500,409583,,
2019,665829,371316,STROUD REGIONAL MEDICAL CENTER,2308 HIGHWAY 66 WEST,STROUD,OK,74079,LINCOLN,36420,R,CAH,1,2,10/1/2018,9/30/2019,110.49,,,6471,54,7846,25,9125,,45,13,93,25,,139,54,311,25,9125,,45,13,93,25277,1317883,1309572,1368540,15421404,40703430,148760,51054062,37897099,8096047,45993146,,,,,,,64454,,,10599880,-5503777,248350,115947,15500,5541455,,,4745210,297071,109454,1068758,,,3415204,,,234481,9191140,88133908,-2618,,8054899,,94899,91528236,,5025827,,4525100,9550927,101079163,-91888023,-91888023,9191140,,,,,,,,,38078919,9344264,47423183,8336133,39087050,56124834,-17037784,73805,-16963979,,-16963979,1.110036,522530,1932801,,
2019,665953,341303,FIRSTHEALTH MONTGOMERY MEMORIAL CAH,520 ALLEN STREET,TROY,NC,27371,MONTGOMERY,99934,R,CAH,1,2,10/1/2018,9/30/2019,94.91,,,437,18,697,3,1095,,58,11,184,3,,129,18,235,3,1095,,58,11,184,781694,8050566,2879113,3450859,6668427,5571354,493357,12396658,4852559,44151813,49004372,,,,,,,1723,,,1993475,,260915,12229,,2867585,21000,236806,8512015,,,9252862,,,2913884,,,,5781469,82626,426959,,,,-1109018,9656800,,,,,,9656800,-3875331,-3875331,5781469,,,,,,,,,5252017,44290264,49542281,36921638,12620643,12239781,380862,158688,539550,3,539547,0.25297,1279195,7462902,,
